dataset,stratum,method,n,bias_median_frac,res68_abs_frac,full_rms_frac,high_bias_tail_fraction,within_10pct,within_25pct,bias_ci95,res68_ci95,full_rms_ci95,high_bias_tail_ci95
p04c_ab_charge,novel_early_pretrigger,mlp,182,0.0591153916203465,0.7065031864969407,1.8477247521624698,0.7527472527472527,0.10989010989010989,0.24725274725274726,"[-0.11266371405215242, 0.17043195411893025]","[0.6060848531486566, 0.7831447424346059]","[1.121805322592191, 2.3595952179982196]","[0.7150530670232326, 0.796051835417507]"
p04c_ab_charge,novel_early_pretrigger,cnn1d,182,-0.001868386974142048,0.48641329234741826,0.6175273574208962,0.6318681318681318,0.13736263736263737,0.36813186813186816,"[-0.12398039204697658, 0.0974137512608735]","[0.42602781302472903, 0.5307443392350646]","[0.5159587277965549, 0.739034656184379]","[0.5884947916666666, 0.6821548327604996]"
p04c_ab_charge,novel_early_pretrigger,residual_cnn_meta,182,-0.02495990718083986,0.4876046998952971,0.6257598053386966,0.6153846153846154,0.15934065934065933,0.38461538461538464,"[-0.09527761432463058, 0.08888256859742442]","[0.4232259220243164, 0.540409841514954]","[0.5078456563599889, 0.7695677318667229]","[0.5548410490172864, 0.688107584477748]"
p04c_ab_charge,novel_early_pretrigger,shuffled_target_gbt,182,-0.1089941280989075,0.48772781320997455,0.6295862636014179,0.6153846153846154,0.15384615384615385,0.38461538461538464,"[-0.18198719626504734, -0.02458306507239295]","[0.4568466545897113, 0.5370101484771777]","[0.5190175286454852, 0.7721508951634413]","[0.5526253132832081, 0.6905357142857143]"
p04c_ab_charge,matched_normal_for_baseline_excursion,traditional_strong,53,-0.1092278612211653,0.427205921258436,0.7894206522908542,0.6981132075471698,0.11320754716981132,0.3018867924528302,"[-0.2832540909692001, 0.10177948336723523]","[0.3557793918328182, 0.5888555350524638]","[0.45745849666222066, 1.131112573135127]","[0.6153061224489796, 0.8086103723404254]"
p04c_ab_charge,matched_normal_for_baseline_excursion,ridge,53,-0.11260502098015189,0.45873490287275437,0.7770612116514624,0.660377358490566,0.09433962264150944,0.33962264150943394,"[-0.2759774710684333, 0.1585066411025223]","[0.36440109429078527, 0.5938929934410078]","[0.47848165033018597, 1.099061660191867]","[0.5635285053929121, 0.7660114091890224]"
p04c_ab_charge,matched_normal_for_baseline_excursion,gradient_boosted_trees,53,-0.1496506475991306,0.47544111223005314,0.8247578975006365,0.6981132075471698,0.1320754716981132,0.3018867924528302,"[-0.254765041882384, 0.11221991964608309]","[0.35809880667710914, 0.5938262920200686]","[0.4826232978963978, 1.1737689942144873]","[0.6315503432494279, 0.7708333333333334]"
p04c_ab_charge,matched_normal_for_baseline_excursion,mlp,53,-0.06556522739788541,0.6756560126468335,0.9376474473123756,0.7735849056603774,0.11320754716981132,0.22641509433962265,"[-0.33722469304848396, 0.17884387885640837]","[0.5174604521035608, 0.8679980758584398]","[0.6796091935952336, 1.1218737602895297]","[0.6481209150326798, 0.8909577922077921]"
p04c_ab_charge,matched_normal_for_baseline_excursion,cnn1d,53,-0.11421528722783826,0.4380495673165316,0.8223906375000006,0.6792452830188679,0.1320754716981132,0.32075471698113206,"[-0.2586647884681254, 0.09447095294997361]","[0.3593066611730469, 0.5919269864495912]","[0.4947958022104169, 1.2557549443732987]","[0.5592278719397363, 0.782608695652174]"
p04c_ab_charge,matched_normal_for_baseline_excursion,residual_cnn_meta,53,-0.09470672629651229,0.44737458741680985,0.8107316401344002,0.660377358490566,0.1320754716981132,0.33962264150943394,"[-0.24283890831109026, 0.10783432194781337]","[0.3522899671031523, 0.5987825682974819]","[0.487477033719995, 1.140336980792106]","[0.5660172272354389, 0.7632278835386338]"
