n_bins,run_shrink_strength,deployment_population_weight,fold,sigma68_ns,n_pair_residuals,heldout_run
6,80.0,4.0,-1,1.2210018305246944,0,59
6,80.0,16.0,0,1.4417609314820294,2799,59
6,80.0,16.0,1,1.0012176970585869,2841,59
6,80.0,16.0,2,1.1431432757877735,3531,59
6,80.0,16.0,-1,1.195373968109463,0,59
6,320.0,0.0,0,1.2133135304819251,2799,59
6,320.0,0.0,1,0.9307158124676653,2841,59
6,320.0,0.0,2,1.2455531205264656,3531,59
6,320.0,0.0,-1,1.1298608211586851,0,59
6,320.0,1.0,0,1.2290376909868581,2799,59
6,320.0,1.0,1,0.9765971108084541,2841,59
6,320.0,1.0,2,1.1892988248315404,3531,59
6,320.0,1.0,-1,1.131644542208951,0,59
6,320.0,4.0,0,1.2290918464700804,2799,59
6,320.0,4.0,1,1.00184313230326,2841,59
6,320.0,4.0,2,1.1038611978067983,3531,59
6,320.0,4.0,-1,1.1115987255267128,0,59
6,320.0,16.0,0,1.215144869529325,2799,59
6,320.0,16.0,1,1.0984627632612756,2841,59
6,320.0,16.0,2,1.04873292565104,3531,59
6,320.0,16.0,-1,1.1207801861472135,0,59
6,1280.0,0.0,0,1.5872157839132313,2799,59
6,1280.0,0.0,1,1.7732481524994994,2841,59
6,1280.0,0.0,2,2.1124303633610997,3531,59
6,1280.0,0.0,-1,1.8242980999246103,0,59
6,1280.0,1.0,0,1.6131980640579533,2799,59
6,1280.0,1.0,1,1.826010973524253,2841,59
6,1280.0,1.0,2,2.149335554762561,3531,59
6,1280.0,1.0,-1,1.8628481974482558,0,59
6,1280.0,4.0,0,1.656633531377886,2799,59
6,1280.0,4.0,1,1.8970047207889535,2841,59
6,1280.0,4.0,2,2.204692935560531,3531,59
6,1280.0,4.0,-1,1.9194437292424569,0,59
6,1280.0,16.0,0,1.7059008618380265,2799,59
6,1280.0,16.0,1,1.9567889290118579,2841,59
6,1280.0,16.0,2,2.2599646030779788,3531,59
6,1280.0,16.0,-1,1.9742181313092877,0,59
8,20.0,0.0,0,1.9418486570229192,2799,59
8,20.0,0.0,1,1.2738229769959124,2841,59
8,20.0,0.0,2,1.2794807167869797,3531,59
8,20.0,0.0,-1,1.4983841169352703,0,59
8,20.0,1.0,0,1.917817023629809,2799,59
8,20.0,1.0,1,1.2226753665446501,2841,59
8,20.0,1.0,2,1.262124026175659,3531,59
8,20.0,1.0,-1,1.4675388054500393,0,59
8,20.0,4.0,0,1.878864556275151,2799,59
8,20.0,4.0,1,1.1489547413770218,2841,59
8,20.0,4.0,2,1.2575627349716776,3531,59
8,20.0,4.0,-1,1.4284606775412836,0,59
8,20.0,16.0,0,1.8323513381947427,2799,59
8,20.0,16.0,1,1.0769148808373594,2841,59
8,20.0,16.0,2,1.2530250939886698,3531,59
8,20.0,16.0,-1,1.3874304376735906,0,59
8,80.0,0.0,0,1.49341492124483,2799,59
8,80.0,0.0,1,1.0118961358905207,2841,59
8,80.0,0.0,2,1.1167691847987795,3531,59
8,80.0,0.0,-1,1.20736008064471,0,59
8,80.0,1.0,0,1.443716106009962,2799,59
8,80.0,1.0,1,1.0270636341621815,2841,59
8,80.0,1.0,2,1.1241447589947051,3531,59
8,80.0,1.0,-1,1.1983081663889494,0,59
8,80.0,4.0,0,1.3608657113226752,2799,59
8,80.0,4.0,1,1.00119387278271,2841,59
8,80.0,4.0,2,1.1586495013169253,3531,59
8,80.0,4.0,-1,1.1735696951407701,0,59
8,80.0,16.0,0,1.3410333319936996,2799,59
8,80.0,16.0,1,0.9972727577670255,2841,59
8,80.0,16.0,2,1.1911710199520966,3531,59
8,80.0,16.0,-1,1.176492369904274,0,59
8,320.0,0.0,0,1.2065424303722994,2799,59
8,320.0,0.0,1,1.013394325585529,2841,59
8,320.0,0.0,2,1.0716810263484737,3531,59
8,320.0,0.0,-1,1.097205927435434,0,59
8,320.0,1.0,0,1.2303973634746375,2799,59
8,320.0,1.0,1,1.0919551206574967,2841,59
8,320.0,1.0,2,1.130137938991634,3531,59
8,320.0,1.0,-1,1.150830141041256,0,59
8,320.0,4.0,0,1.2013145747518177,2799,59
8,320.0,4.0,1,1.186940568697321,2841,59
8,320.0,4.0,2,1.217858416889588,3531,59
8,320.0,4.0,-1,1.2020378534462424,0,59
8,320.0,16.0,0,1.126260642795475,2799,59
8,320.0,16.0,1,1.2377509816230001,2841,59
8,320.0,16.0,2,1.3013662602808367,3531,59
8,320.0,16.0,-1,1.221792628233104,0,59
8,1280.0,0.0,0,1.786223531852777,2799,59
8,1280.0,0.0,1,1.965594449604479,2841,59
8,1280.0,0.0,2,2.3108432021680145,3531,59
8,1280.0,0.0,-1,2.0208870612084233,0,59
8,1280.0,1.0,0,1.8073800106112823,2799,59
8,1280.0,1.0,1,2.0100701310526206,2841,59
8,1280.0,1.0,2,2.3413396684678367,3531,59
8,1280.0,1.0,-1,2.05292993671058,0,59
8,1280.0,4.0,0,1.8419256405699715,2799,59
8,1280.0,4.0,1,2.068554654672462,2841,59
8,1280.0,4.0,2,2.3870843679175597,3531,59
8,1280.0,4.0,-1,2.099188221053331,0,59
8,1280.0,16.0,0,1.8825608263651317,2799,59
8,1280.0,16.0,1,2.118534820400704,2841,59
8,1280.0,16.0,2,2.424651287506465,3531,59
8,1280.0,16.0,-1,2.1419156447574337,0,59
10,20.0,0.0,0,1.8992217312541069,2799,59
10,20.0,0.0,1,1.2863572100989225,2841,59
10,20.0,0.0,2,1.3175758943151252,3531,59
10,20.0,0.0,-1,1.5010516118893849,0,59
10,20.0,1.0,0,1.870908581575162,2799,59
10,20.0,1.0,1,1.2374755398030657,2841,59
10,20.0,1.0,2,1.288563910823978,3531,59
10,20.0,1.0,-1,1.4656493440674019,0,59
10,20.0,4.0,0,1.8228226844284852,2799,59
10,20.0,4.0,1,1.1701233417157766,2841,59
10,20.0,4.0,2,1.2515174456614262,3531,59
10,20.0,4.0,-1,1.4148211572685625,0,59
10,20.0,16.0,0,1.7679207958175314,2799,59
10,20.0,16.0,1,1.1048511035222468,2841,59
10,20.0,16.0,2,1.239144891375424,3531,59
10,20.0,16.0,-1,1.3706389302384006,0,59
10,80.0,0.0,0,1.3462231736697592,2799,59
10,80.0,0.0,1,1.026052874771524,2841,59
10,80.0,0.0,2,1.133180273871004,3531,59
10,80.0,0.0,-1,1.1684854407707623,0,59
10,80.0,1.0,0,1.3414926506980462,2799,59
10,80.0,1.0,1,1.0,2841,59
10,80.0,1.0,2,1.1285272380453855,3531,59
10,80.0,1.0,-1,1.1566732962478106,0,59
10,80.0,4.0,0,1.332009203400311,2799,59
10,80.0,4.0,1,0.9811070487999543,2841,59
10,80.0,4.0,2,1.1074664140966939,3531,59
10,80.0,4.0,-1,1.1401942220989862,0,59
10,80.0,16.0,0,1.3180661048274198,2799,59
10,80.0,16.0,1,0.9853028540458175,2841,59
10,80.0,16.0,2,1.0757626963309157,3531,59
10,80.0,16.0,-1,1.1263772184013845,0,59
10,320.0,0.0,0,1.1291736095752323,2799,59
10,320.0,0.0,1,1.2243146318374125,2841,59
10,320.0,0.0,2,1.279278766733752,3531,59
10,320.0,0.0,-1,1.2109223360487988,0,59
10,320.0,1.0,0,1.13413626814267,2799,59
10,320.0,1.0,1,1.2344997786393457,2841,59
10,320.0,1.0,2,1.3359787437072292,3531,59
10,320.0,1.0,-1,1.2348715968297483,0,59
10,320.0,4.0,0,1.1668571646670949,2799,59
10,320.0,4.0,1,1.2769817591023203,2841,59
10,320.0,4.0,2,1.4248210812064463,3531,59
10,320.0,4.0,-1,1.289553334991954,0,59
