cell,negative_rows,positive_rows,matched_pairs
31|0|1|0|1|1|2|2|3|0|0,1,0,0
31|0|1|0|1|1|2|2|3|0|5,1,0,0
31|0|1|0|1|1|2|2|4|4|1,1,0,0
31|0|1|0|1|1|2|2|5|1|3,1,0,0
31|0|1|0|1|1|2|2|5|3|2,1,0,0
31|0|1|0|1|1|3|2|3|4|1,1,0,0
31|0|1|0|1|1|3|3|0|1|5,0,3,0
31|0|1|0|1|1|3|3|0|2|5,0,34,0
31|0|1|0|1|1|3|3|0|3|5,1,19,1
31|0|1|0|1|1|3|3|0|4|1,1,0,0
31|0|1|0|1|1|3|3|0|4|2,1,0,0
31|0|1|0|1|1|3|3|0|4|3,1,0,0
31|0|1|0|1|1|3|3|1|0|5,0,1,0
31|0|1|0|1|1|3|3|1|2|5,0,44,0
31|0|1|0|1|1|3|3|1|3|5,0,33,0
31|0|1|0|1|1|3|3|1|4|1,2,0,0
31|0|1|0|1|1|3|3|1|4|2,1,0,0
31|0|1|0|1|1|3|3|1|4|3,1,0,0
31|0|1|0|1|1|3|3|2|1|5,0,1,0
31|0|1|0|1|1|3|3|2|2|5,0,53,0
31|0|1|0|1|1|3|3|2|3|5,0,42,0
31|0|1|0|1|1|3|3|3|1|5,0,2,0
31|0|1|0|1|1|3|3|3|2|5,0,51,0
31|0|1|0|1|1|3|3|3|3|5,1,22,1
31|0|1|0|1|1|3|3|3|4|1,2,0,0
31|0|1|0|1|1|3|3|4|1|5,0,2,0
31|0|1|0|1|1|3|3|4|2|5,0,46,0
31|0|1|0|1|1|3|3|4|3|5,0,17,0
31|0|1|0|1|1|3|3|4|4|1,2,0,0
31|0|1|0|1|1|3|3|4|4|3,1,0,0
31|0|1|0|1|1|3|3|4|4|4,1,0,0
31|0|1|0|1|1|3|3|5|1|5,0,4,0
31|0|1|0|1|1|3|3|5|2|5,0,67,0
31|0|1|0|1|1|3|3|5|3|5,0,42,0
31|0|1|0|1|1|3|3|5|4|1,2,0,0
31|0|1|0|1|1|4|3|0|2|5,0,3,0
31|0|1|0|1|1|4|3|0|3|5,0,19,0
31|0|1|0|1|1|4|3|0|4|1,1,0,0
31|0|1|0|1|1|4|3|1|2|5,0,6,0
31|0|1|0|1|1|4|3|1|3|4,0,1,0
31|0|1|0|1|1|4|3|1|3|5,0,21,0
31|0|1|0|1|1|4|3|1|4|5,1,0,0
31|0|1|0|1|1|4|3|2|2|5,0,2,0
31|0|1|0|1|1|4|3|2|3|5,0,23,0
31|0|1|0|1|1|4|3|3|2|5,0,2,0
31|0|1|0|1|1|4|3|3|3|5,0,28,0
31|0|1|0|1|1|4|3|4|2|5,0,3,0
31|0|1|0|1|1|4|3|4|3|5,0,12,0
31|0|1|0|1|1|4|3|4|4|2,1,0,0
31|0|1|0|1|1|4|3|5|2|5,0,8,0
31|0|1|0|1|1|4|3|5|3|5,0,27,0
31|0|1|0|1|1|4|4|0|3|2,0,1,0
31|0|1|0|1|1|4|4|0|3|3,0,69,0
31|0|1|0|1|1|4|4|0|3|4,0,74,0
31|0|1|0|1|1|4|4|0|3|5,0,33,0
31|0|1|0|1|1|4|4|0|4|1,2,0,0
31|0|1|0|1|1|4|4|0|4|2,2,7,2
31|0|1|0|1|1|4|4|0|4|3,0,109,0
31|0|1|0|1|1|4|4|0|4|4,0,14,0
31|0|1|0|1|1|4|4|1|2|4,0,1,0
31|0|1|0|1|1|4|4|1|3|3,0,111,0
31|0|1|0|1|1|4|4|1|3|4,0,103,0
31|0|1|0|1|1|4|4|1|3|5,0,51,0
31|0|1|0|1|1|4|4|1|4|2,0,3,0
31|0|1|0|1|1|4|4|1|4|3,0,124,0
31|0|1|0|1|1|4|4|1|4|4,0,16,0
31|0|1|0|1|1|4|4|2|2|4,0,2,0
31|0|1|0|1|1|4|4|2|2|5,0,1,0
31|0|1|0|1|1|4|4|2|3|2,0,1,0
31|0|1|0|1|1|4|4|2|3|3,0,125,0
31|0|1|0|1|1|4|4|2|3|4,0,113,0
31|0|1|0|1|1|4|4|2|3|5,0,44,0
31|0|1|0|1|1|4|4|2|4|2,1,7,1
31|0|1|0|1|1|4|4|2|4|3,0,130,0
31|0|1|0|1|1|4|4|2|4|4,0,31,0
31|0|1|0|1|1|4|4|3|2|5,0,2,0
31|0|1|0|1|1|4|4|3|3|3,0,89,0
31|0|1|0|1|1|4|4|3|3|4,0,96,0
31|0|1|0|1|1|4|4|3|3|5,0,40,0
31|0|1|0|1|1|4|4|3|4|2,3,0,0
31|0|1|0|1|1|4|4|3|4|3,0,102,0
31|0|1|0|1|1|4|4|3|4|4,0,10,0
31|0|1|0|1|1|4|4|4|2|4,0,3,0
31|0|1|0|1|1|4|4|4|2|5,0,2,0
31|0|1|0|1|1|4|4|4|3|3,0,43,0
31|0|1|0|1|1|4|4|4|3|4,0,66,0
31|0|1|0|1|1|4|4|4|3|5,0,32,0
31|0|1|0|1|1|4|4|4|4|1,1,0,0
31|0|1|0|1|1|4|4|4|4|2,1,2,1
31|0|1|0|1|1|4|4|4|4|3,0,79,0
31|0|1|0|1|1|4|4|4|4|4,0,6,0
31|0|1|0|1|1|4|4|5|2|4,0,2,0
31|0|1|0|1|1|4|4|5|3|3,0,117,0
31|0|1|0|1|1|4|4|5|3|4,0,110,0
31|0|1|0|1|1|4|4|5|3|5,0,45,0
31|0|1|0|1|1|4|4|5|4|1,1,0,0
31|0|1|0|1|1|4|4|5|4|2,1,5,1
31|0|1|0|1|1|4|4|5|4|3,0,136,0
31|0|1|0|1|1|4|4|5|4|4,0,18,0
31|0|1|0|1|1|5|4|0|3|2,0,1,0
31|0|1|0|1|1|5|4|0|3|3,0,27,0
31|0|1|0|1|1|5|4|0|3|4,0,1,0
31|0|1|0|1|1|5|4|0|4|2,1,11,1
