method,spacing_cm,split,n_pair_residuals,median_ns,sigma68_ns,full_rms_ns,tail_frac_abs_gt5ns,core_sigma_ns,chi2_ndf,heldout_run,table,candidate,alpha,fold,n_features
,,,2997,,2.1121381469353757,,,,,58,analytic_cv,amp_only,0.0,0.0,6.0
,,,3534,,1.3627183983693998,,,,,58,analytic_cv,amp_only,0.0,1.0,6.0
,,,4710,,1.3750005998963033,,,,,58,analytic_cv,amp_only,0.0,2.0,6.0
,,,0,,1.6166190484003595,,,,,58,analytic_cv,amp_only,0.0,-1.0,6.0
,,,2997,,2.1094853336862256,,,,,58,analytic_cv,amp_only,0.01,0.0,6.0
,,,3534,,1.3629660442030622,,,,,58,analytic_cv,amp_only,0.01,1.0,6.0
,,,4710,,1.375433424927048,,,,,58,analytic_cv,amp_only,0.01,2.0,6.0
,,,0,,1.6159616009387785,,,,,58,analytic_cv,amp_only,0.01,-1.0,6.0
,,,2997,,2.1069396537927316,,,,,58,analytic_cv,amp_only,0.1,0.0,6.0
,,,3534,,1.3633954870649796,,,,,58,analytic_cv,amp_only,0.1,1.0,6.0
,,,4710,,1.3747899597288828,,,,,58,analytic_cv,amp_only,0.1,2.0,6.0
,,,0,,1.6150417001955315,,,,,58,analytic_cv,amp_only,0.1,-1.0,6.0
,,,2997,,2.1109655096414413,,,,,58,analytic_cv,amp_only,1.0,0.0,6.0
,,,3534,,1.379677454793276,,,,,58,analytic_cv,amp_only,1.0,1.0,6.0
,,,4710,,1.4203893932851956,,,,,58,analytic_cv,amp_only,1.0,2.0,6.0
,,,0,,1.6370107859066376,,,,,58,analytic_cv,amp_only,1.0,-1.0,6.0
,,,2997,,2.1008577099035497,,,,,58,analytic_cv,amp_only,10.0,0.0,6.0
,,,3534,,1.374014550682853,,,,,58,analytic_cv,amp_only,10.0,1.0,6.0
,,,4710,,1.4439956764566717,,,,,58,analytic_cv,amp_only,10.0,2.0,6.0
,,,0,,1.639622645681025,,,,,58,analytic_cv,amp_only,10.0,-1.0,6.0
,,,2997,,2.070948021628114,,,,,58,analytic_cv,amp_only,100.0,0.0,6.0
,,,3534,,1.312389246288859,,,,,58,analytic_cv,amp_only,100.0,1.0,6.0
,,,4710,,1.3992276237939008,,,,,58,analytic_cv,amp_only,100.0,2.0,6.0
,,,0,,1.5941882972369579,,,,,58,analytic_cv,amp_only,100.0,-1.0,6.0
,,,2997,,2.0619749970082863,,,,,58,analytic_cv,amp_rise_shape,0.0,0.0,14.0
,,,3534,,1.3731399195611864,,,,,58,analytic_cv,amp_rise_shape,0.0,1.0,14.0
,,,4710,,1.4154505471212695,,,,,58,analytic_cv,amp_rise_shape,0.0,2.0,14.0
,,,0,,1.6168551545635808,,,,,58,analytic_cv,amp_rise_shape,0.0,-1.0,14.0
,,,2997,,2.0619575874994616,,,,,58,analytic_cv,amp_rise_shape,0.01,0.0,14.0
,,,3534,,1.3716692838644091,,,,,58,analytic_cv,amp_rise_shape,0.01,1.0,14.0
,,,4710,,1.4150749920356445,,,,,58,analytic_cv,amp_rise_shape,0.01,2.0,14.0
,,,0,,1.6162339544665052,,,,,58,analytic_cv,amp_rise_shape,0.01,-1.0,14.0
