method,stratum,value,n_events,n_valid,energy_bias,energy_sigma68,saturated_energy_sigma68,saturation_knee_accuracy,saturation_knee_calibration_abs,pedestal_high_minus_low_bias,pid_auc,pid_calibration_ece,timing_residual_bias_ns,timing_residual_sigma68_ns,pileup_merge_rate,false_split_rate,coverage90,coverage90_abs_error
ridge,stave,B8,204.0,106.0,0.038385284719486976,0.0918654666782622,,0.9950980392156863,0.004901960784313725,0.024634749404715023,,0.47627179217603355,-0.24378395853208445,5.4021182071943254,0.21875,0.28703703703703703,0.8207547169811321,0.0792452830188679
ridge,pid_proxy_class,inner_high_charge,29.0,29.0,-0.023236313046824924,0.06775536340557871,0.03407945147690884,0.8620689655172413,0.0,8.745241373992949e-05,,0.08059333692164986,-5.82869524944662,5.422248139950531,0.0,1.0,1.0,0.09999999999999998
ridge,pid_proxy_class,other,831.0,364.0,0.026703213955935418,0.08468468938011357,0.007336012538881887,0.9963898916967509,0.0036101083032490976,0.013116517298489061,,0.47434797273045637,-1.338932625375242,8.015893903991511,0.3399503722084367,0.22897196261682243,0.8543956043956044,0.045604395604395664
saturation_residual_fusion_new,pedestal_state,nominal,308.0,127.0,0.008314850358495239,0.06416757031605759,0.035047181874854755,1.0,0.0,,0.9977924944812362,0.4489562733000692,-0.6762652722374884,5.187761255870022,0.39869281045751637,0.22580645161290322,0.6220472440944882,0.27795275590551183
saturation_residual_fusion_new,pedestal_state,shifted,552.0,263.0,0.010468811274241234,0.0923780957388319,0.05260293138969864,0.9909420289855072,0.0018115942028985518,,0.9923563737979781,0.4684181677627692,-0.472222137726952,5.872671986915313,0.2996389891696751,0.2509090909090909,0.49809885931558934,0.4019011406844107
saturation_residual_fusion_new,pileup_bin,clean,430.0,104.0,0.04561770073280241,0.09633254304414783,,1.0,0.0,0.037553770757793946,0.9976635514018692,0.4118109719248777,-3.651648102708318,5.0820859680384505,,0.24186046511627907,0.5,0.4
saturation_residual_fusion_new,pileup_bin,pileup,430.0,286.0,-0.008722213152685907,0.073122909573338,0.058069935015114996,0.9883720930232558,0.002325581395348837,-0.011081258085708817,0.9889716018748277,0.511085215939006,0.5179318958326817,4.98565108640363,0.33488372093023255,,0.5524475524475524,0.34755244755244763
saturation_residual_fusion_new,clip_bin,hard_clip,2.0,2.0,0.0404672901871896,0.019916916969536038,0.019916916969536038,1.0,0.0,-0.058579167557458935,,0.007477994013539435,-3.801678628470615,0.6446908689196276,0.0,,0.5,0.4
saturation_residual_fusion_new,clip_bin,mild_clip,7.0,7.0,0.045020349843896794,0.043055169395786304,0.043055169395786304,1.0,0.0,0.08042855210699879,0.6,0.2677152164701935,-2.6241133583480902,4.5358770261264905,0.0,,0.8571428571428571,0.04285714285714293
saturation_residual_fusion_new,clip_bin,unclipped,851.0,381.0,0.008800370898100509,0.08144401612640134,0.04585286652640199,0.9941245593419507,0.001175088131609871,0.000996264289335672,0.9944072815001646,0.46414372532809134,-0.5174071346319131,5.85984338875488,0.342042755344418,0.24186046511627907,0.5328083989501312,0.3671916010498688
saturation_residual_fusion_new,morphology_state,late_tail_high,436.0,149.0,0.012400535073085299,0.07026464281317249,0.041673519805133945,0.9977064220183486,0.0022935779816513763,0.010487853172580355,0.9932827102803738,0.44836187445812786,-0.3627199081836352,6.525290439483994,0.41711229946524064,0.1606425702811245,0.5771812080536913,0.3228187919463087
saturation_residual_fusion_new,morphology_state,late_tail_low,424.0,241.0,0.005250251789302136,0.08690599137957736,0.05160006020937129,0.9905660377358491,0.0,-0.004581419472516137,0.9935011225333805,0.47490467810784487,-0.7524157262866282,5.20069011573622,0.2716049382716049,0.35359116022099446,0.5145228215767634,0.3854771784232366
