heldout_run,consumer,method,variant,train_rows,epochs,target_center,target_scale
63,charge,gradient_boosted_trees,no_score,10350.0,,,
63,charge,gradient_boosted_trees,plus_score,10350.0,,,
63,charge,gradient_boosted_trees,score_residualized,10350.0,,,
63,charge,gradient_boosted_trees,shuffled_score_control,10350.0,,,
63,charge,extra_trees,no_score,10350.0,,,
63,charge,extra_trees,plus_score,10350.0,,,
63,charge,extra_trees,score_residualized,10350.0,,,
63,charge,extra_trees,shuffled_score_control,10350.0,,,
63,pileup,traditional,no_score,10350.0,,,
63,pileup,traditional,plus_score,10350.0,,,
63,pileup,traditional,score_residualized,10350.0,,,
63,pileup,traditional,shuffled_score_control,10350.0,,,
63,pileup,ridge,no_score,10350.0,,,
63,pileup,ridge,plus_score,10350.0,,,
63,pileup,ridge,score_residualized,10350.0,,,
63,pileup,ridge,shuffled_score_control,10350.0,,,
63,pileup,gradient_boosted_trees,no_score,10350.0,,,
